t,o,h,l,c,v,RSI,ATR,price_change_pct,volume_change_pct,is_doji,is_hammer,is_shooting_star,is_bullish_engulfing,is_bearish_engulfing,ml_signal,future_close
2025-04-22 06:15:00,88119.4,88230.0,88012.4,88044.6,310.5682,,,,,False,False,False,False,False,,88017.5
2025-04-22 06:30:00,88044.6,88094.1,87949.8,88017.5,597.8538,,,-0.030779854755436098,92.50322473453497,False,False,False,False,False,HOLD,88196.0
2025-04-22 06:45:00,88017.5,88199.4,87970.0,88196.0,577.653,,,0.202800579430229,-3.3788862762099914,False,True,False,False,False,HOLD,88123.3
2025-04-22 07:00:00,88196.0,88222.7,88123.2,88123.3,542.1711,,,-0.08243004217878269,-6.142424604390529,False,False,True,False,False,HOLD,88245.2
2025-04-22 07:15:00,88123.3,88287.5,88121.7,88245.2,270.7536,,,0.13832890960732147,-50.06122605944876,False,False,False,False,False,HOLD,88414.8
2025-04-22 07:30:00,88245.2,88450.0,88245.2,88414.8,2202.0936,,,0.19219175660547538,713.3201552998742,False,False,False,False,False,HOLD,88439.3
2025-04-22 07:45:00,88414.8,88445.1,88326.6,88439.3,316.4125,,,0.02771029284689419,-85.63128742574794,False,False,False,False,False,HOLD,88491.3
2025-04-22 08:00:00,88439.3,88583.5,88392.5,88491.3,696.8017,,,0.058797389848175285,120.21939714771067,False,False,False,False,False,HOLD,88354.9
2025-04-22 08:15:00,88491.3,88645.3,88333.7,88354.9,608.1932,,,-0.15413944647666433,-12.716458642394235,False,False,True,False,False,HOLD,88327.7
2025-04-22 08:30:00,88354.9,88445.0,88290.1,88327.7,294.8493,,,-0.0307849366588564,-51.52045435562251,False,False,False,False,False,HOLD,88357.9
2025-04-22 08:45:00,88327.7,88384.3,88275.9,88357.9,668.6368,,,0.0341908597189855,126.77238847099174,False,False,False,False,False,HOLD,88300.0
2025-04-22 09:00:00,88357.9,88450.0,88275.2,88300.0,621.1424,,,-0.06552894534613829,-7.103168715811037,False,False,False,False,False,HOLD,88492.9
2025-04-22 09:15:00,88300.0,88493.0,88280.2,88492.9,567.9759,,,0.21845979614947275,-8.559470420953385,False,True,False,False,False,HOLD,88469.9
2025-04-22 09:30:00,88492.9,88500.0,88419.9,88469.9,843.1586,69.09058263757925,172.3928571428592,-0.025990785701446306,48.44971415160395,False,False,False,False,False,HOLD,88531.3
